year,month,date,indicator
1922,1,Jan-22,99.56875911
1922,2,Feb-22,99.63848948
1922,3,Mar-22,99.80920577
1922,4,Apr-22,99.96830585
1922,5,May-22,99.53326388
1922,6,Jun-22,99.63576308
1922,7,Jul-22,100.0787898
1922,8,Aug-22,99.94262638
1922,9,Sep-22,100.3998241
1922,10,Oct-22,99.76993948
1922,11,Nov-22,99.66818263
1922,12,Dec-22,99.53683494
1923,1,Jan-23,99.82796194
1923,2,Feb-23,100.1395181
1923,3,Mar-23,99.82146919
1923,4,Apr-23,99.22386515
1923,5,May-23,99.4151508
1923,6,Jun-23,99.37248764
1923,7,Jul-23,99.62048557
1923,8,Aug-23,99.662194
1923,9,Sep-23,98.946301
1923,10,Oct-23,99.18586496
1923,11,Nov-23,99.54012567
1923,12,Dec-23,98.99692379
1924,1,Jan-24,99.32563154
1924,2,Feb-24,99.52167725
1924,3,Mar-24,99.42869643
1924,4,Apr-24,99.03770779
1924,5,May-24,98.89765394
1924,6,Jun-24,98.60441009
1924,7,Jul-24,99.08333729
1924,8,Aug-24,99.07663945
1924,9,Sep-24,99.22004806
1924,10,Oct-24,99.29879997
1924,11,Nov-24,98.85139711
1924,12,Dec-24,99.87926969
1925,1,Jan-25,99.69218672
1925,2,Feb-25,99.65308749
1925,3,Mar-25,99.38247256
1925,4,Apr-25,99.31430791
1925,5,May-25,99.52975656
1925,6,Jun-25,99.83838281
1925,7,Jul-25,99.75189691
1925,8,Aug-25,100.429654
1925,9,Sep-25,100.0640464
1925,10,Oct-25,100.8257893
1925,11,Nov-25,99.91236251
1925,12,Dec-25,99.78119865
1926,1,Jan-26,100.0540589
1926,2,Feb-26,100.0782453
1926,3,Mar-26,100.7466962
1926,4,Apr-26,100.4559812
1926,5,May-26,99.74539533
1926,6,Jun-26,99.65086414
1926,7,Jul-26,100.1929968
1926,8,Aug-26,99.86926987
1926,9,Sep-26,99.72425169
1926,10,Oct-26,99.76404398
1926,11,Nov-26,99.38932244
1926,12,Dec-26,99.36072932
1927,1,Jan-27,99.1586348
1927,2,Feb-27,99.70175078
1927,3,Mar-27,99.7832271
1927,4,Apr-27,99.29486522
1927,5,May-27,99.22858586
1927,6,Jun-27,99.07388103
1927,7,Jul-27,98.56447322
1927,8,Aug-27,99.1414209
1927,9,Sep-27,99.28778194
1927,10,Oct-27,99.34329489
1927,11,Nov-27,99.39682971
1927,12,Dec-27,99.08842422
1928,1,Jan-28,99.20077543
1928,2,Feb-28,99.46773856
1928,3,Mar-28,99.64602776
1928,4,Apr-28,99.37426994
1928,5,May-28,99.01587396
1928,6,Jun-28,99.4270982
1928,7,Jul-28,99.512468
1928,8,Aug-28,99.55844149
1928,9,Sep-28,99.42959242
1928,10,Oct-28,99.42815082
1928,11,Nov-28,99.50522319
1928,12,Dec-28,99.64430346
1929,1,Jan-29,99.85795724
1929,2,Feb-29,100.272664
1929,3,Mar-29,100.2483348
1929,4,Apr-29,99.95596966
1929,5,May-29,100.4377958
1929,6,Jun-29,99.89900981
1929,7,Jul-29,100.5479509
1929,8,Aug-29,100.1141643
1929,9,Sep-29,100.4962539
1929,10,Oct-29,101.3834584
1929,11,Nov-29,100.975225
1929,12,Dec-29,100.3892613
1930,1,Jan-30,99.91481959
1930,2,Feb-30,99.75166526
1930,3,Mar-30,100.1157013
1930,4,Apr-30,99.81231537
1930,5,May-30,100.1771196
1930,6,Jun-30,100.8614327
1930,7,Jul-30,100.2517947
1930,8,Aug-30,100.2664318
1930,9,Sep-30,100.3052759
1930,10,Oct-30,100.2858486
1930,11,Nov-30,100.3705349
1930,12,Dec-30,100.2232013
1931,1,Jan-31,100.3041844
1931,2,Feb-31,100.4600977
1931,3,Mar-31,100.1221718
1931,4,Apr-31,100.0457426
1931,5,May-31,100.2521361
1931,6,Jun-31,101.0968814
1931,7,Jul-31,101.4935117
1931,8,Aug-31,101.3922533
1931,9,Sep-31,100.9951416
1931,10,Oct-31,100.6594267
1931,11,Nov-31,100.623533
1931,12,Dec-31,101.8713295
1932,1,Jan-32,102.1448219
1932,2,Feb-32,101.0020775
1932,3,Mar-32,101.5447026
1932,4,Apr-32,101.8234386
1932,5,May-32,101.5417217
1932,6,Jun-32,101.3677707
1932,7,Jul-32,101.9798034
1932,8,Aug-32,101.1045496
1932,9,Sep-32,100.8686989
1932,10,Oct-32,101.2910631
1932,11,Nov-32,102.4498225
1932,12,Dec-32,103.3578265
1933,1,Jan-33,102.6212141
1933,2,Feb-33,103.0193219
1933,3,Mar-33,102.0335106
1933,4,Apr-33,101.6492414
1933,5,May-33,101.2667543
1933,6,Jun-33,102.1408515
1933,7,Jul-33,100.5518699
1933,8,Aug-33,101.2182974
1933,9,Sep-33,100.9715695
1933,10,Oct-33,100.9486221
1933,11,Nov-33,101.1466083
1933,12,Dec-33,101.076051
1934,1,Jan-34,100.5205354
1934,2,Feb-34,100.9479781
1934,3,Mar-34,101.6459739
1934,4,Apr-34,100.7728173
1934,5,May-34,101.0118528
1934,6,Jun-34,101.1012472
1934,7,Jul-34,100.6686854
1934,8,Aug-34,100.2935994
1934,9,Sep-34,99.87256689
1934,10,Oct-34,100.0382667
1934,11,Nov-34,100.067709
1934,12,Dec-34,100.1616296
1935,1,Jan-35,100.5594127
1935,2,Feb-35,100.3997335
1935,3,Mar-35,101.0763875
1935,4,Apr-35,99.82358583
1935,5,May-35,100.129622
1935,6,Jun-35,99.91707508
1935,7,Jul-35,99.82704859
1935,8,Aug-35,100.0779112
1935,9,Sep-35,99.46757003
1935,10,Oct-35,100.0214152
1935,11,Nov-35,100.0279573
1935,12,Dec-35,100.6222625
1936,1,Jan-36,100.0755892
1936,2,Feb-36,99.97272268
1936,3,Mar-36,100.814655
1936,4,Apr-36,100.0755499
1936,5,May-36,99.92655845
1936,6,Jun-36,99.69113021
1936,7,Jul-36,99.73965956
1936,8,Aug-36,99.58785849
1936,9,Sep-36,99.61077945
1936,10,Oct-36,99.31012579
1936,11,Nov-36,98.96916603
1936,12,Dec-36,99.56617705
1937,1,Jan-37,99.53083134
1937,2,Feb-37,99.5863038
1937,3,Mar-37,99.63141111
1937,4,Apr-37,99.51146493
1937,5,May-37,99.77540069
1937,6,Jun-37,99.81859318
1937,7,Jul-37,99.45698211
1937,8,Aug-37,99.55633265
1937,9,Sep-37,100.0499886
1937,10,Oct-37,99.90481105
1937,11,Nov-37,99.74553599
1937,12,Dec-37,99.49409073
1938,1,Jan-38,100.2644846
1938,2,Feb-38,100.2178711
1938,3,Mar-38,100.9424915
1938,4,Apr-38,100.5304763
1938,5,May-38,100.0759335
1938,6,Jun-38,99.83668517
1938,7,Jul-38,99.84604427
1938,8,Aug-38,99.83342309
1938,9,Sep-38,99.88444985
1938,10,Oct-38,99.57358429
1938,11,Nov-38,99.42577123
1938,12,Dec-38,99.7418144
1939,1,Jan-39,100.1429997
1939,2,Feb-39,99.86835565
1939,3,Mar-39,100.3723579
1939,4,Apr-39,99.79986864
1939,5,May-39,99.65556367
1939,6,Jun-39,100.1585278
1939,7,Jul-39,99.48087015
1939,8,Aug-39,99.39195475
1939,9,Sep-39,100.6625609
1939,10,Oct-39,99.99751253
1939,11,Nov-39,99.62888869
1939,12,Dec-39,99.92256198
1940,1,Jan-40,100.5547345
1940,2,Feb-40,100.2565797
1940,3,Mar-40,99.51161258
1940,4,Apr-40,99.35310549
1940,5,May-40,99.97647339
1940,6,Jun-40,99.18992181
1940,7,Jul-40,99.61911954
1940,8,Aug-40,99.64613419
1940,9,Sep-40,99.3815917
1940,10,Oct-40,98.98529231
1940,11,Nov-40,99.29220286
1940,12,Dec-40,99.42743768
1941,1,Jan-41,99.62777477
1941,2,Feb-41,100.2061129
